inner_fold,threshold,tipo,accuracy,balanced_accuracy,f1_macro,outer_fold
todos,0.5800000000000001,busca_limiar,0.752604669958009,0.7639996145005412,0.7522371903751368,1
todos,0.41,busca_limiar,0.7651668218634151,0.7636698710436219,0.7632047442650431,1
todos,0.54,busca_limiar,0.7540277948591809,0.7634789588965567,0.7539387074740023,1
todos,0.69,busca_limiar,0.7452255038037845,0.7634747381314223,0.7422493822429375,1
todos,0.7,busca_limiar,0.7433807122652283,0.7620899692534501,0.7401080387898387,1
todos,0.53,busca_limiar,0.752604669958009,0.7614360169106461,0.7525628441487714,1
todos,0.52,busca_limiar,0.7530790449250663,0.7611400526692127,0.7530721390441797,1
todos,0.71,busca_limiar,0.7417643234885887,0.7610012126297514,0.7381411898710442,1
todos,0.72,busca_limiar,0.7400073791661542,0.7599046779259395,0.735922385278098,1
todos,0.4,busca_limiar,0.7619164748669115,0.7597178774239173,0.7596226560389937,1
todos,0.39,busca_limiar,0.7608271693870021,0.7581692276279152,0.7583052378564978,1
todos,0.38,busca_limiar,0.7585607112110617,0.7553416117945375,0.755737563582626,1
todos,0.73,busca_limiar,0.7326809213416027,0.7535907886580402,0.7277051572959161,1
todos,0.37,busca_limiar,0.7555036280900258,0.751674858093686,0.7523259355868359,1
todos,0.36,busca_limiar,0.7513572394890806,0.7468125672125203,0.747725594269619,1
todos,0.74,busca_limiar,0.7221919637366692,0.7443334896806002,0.715929306648727,1
todos,0.35,busca_limiar,0.7459809898624312,0.7405103756184164,0.7417052663141521,1
todos,0.75,busca_limiar,0.712792311611645,0.7359751132862964,0.7052682415161418,1
todos,0.33999999999999997,busca_limiar,0.7414129346241017,0.7350456458071828,0.7364571427091544,1
todos,0.32999999999999996,busca_limiar,0.7383558515030658,0.7312023357984871,0.7327643739793136,1
todos,0.32,busca_limiar,0.7351406433930109,0.7272928946496149,0.7289407423306513,1
todos,0.31,busca_limiar,0.7304144631656623,0.7218185317167148,0.7234931364844732,1
todos,0.3,busca_limiar,0.7255477273925189,0.7160892118727199,0.7177404863701244,1
1,0.5,limiar_padrao,0.7176567205036956,0.7520291107856736,0.711762069146052,2
2,0.5,limiar_padrao,0.9738800145689162,0.9753158924478074,0.9738525391678363,2
3,0.5,limiar_padrao,0.7015634580012262,0.6978477186688347,0.698379149863499,2
todos,0.6,busca_limiar,0.8123597868760516,0.8229032746400053,0.8118568310494817,2
todos,0.61,busca_limiar,0.811991727425687,0.8227254484623221,0.8114433314667526,2
todos,0.59,busca_limiar,0.8120793606281548,0.8224292963846654,0.8116178662088893,2
todos,0.62,busca_limiar,0.8099761637689288,0.8209425290871104,0.8093614142678784,2
todos,0.5800000000000001,busca_limiar,0.8097132641615256,0.8196580686756884,0.8093267054757624,2
todos,0.63,busca_limiar,0.8076977005047672,0.8189205805251911,0.8070042790910508,2
todos,0.64,busca_limiar,0.8061027762198542,0.817579673116166,0.8053299277766248,2
todos,0.5700000000000001,busca_limiar,0.8070667414469994,0.8164554093309817,0.8067752676063049,2
todos,0.65,busca_limiar,0.8033510936623668,0.8151371969597985,0.8024693596116664,2
todos,0.6599999999999999,busca_limiar,0.8012303701626472,0.8132300988938796,0.8002667723135042,2
todos,0.6699999999999999,busca_limiar,0.7972693494111048,0.809628523211203,0.7961547546592317,2
todos,0.6799999999999999,busca_limiar,0.794885726303982,0.8074945521356083,0.7936614044943958,2
todos,0.48,busca_limiar,0.8001962983735278,0.8056376521485902,0.800188865178439,2
todos,0.44999999999999996,busca_limiar,0.8005643578238923,0.8054933396349371,0.8005354392697142,2
todos,0.44,busca_limiar,0.8007220975883342,0.8054410426967533,0.8006803234379907,2
todos,0.47,busca_limiar,0.8001787717330342,0.8054361325667945,0.8001652692384378,2
todos,0.69,busca_limiar,0.7925371564778463,0.8053715835143369,0.7912064224712826,2
todos,0.49,busca_limiar,0.7995478126752664,0.8052107369906509,0.7995453741930507,2
todos,0.45999999999999996,busca_limiar,0.8000560852495794,0.8051803323122231,0.8000370964996845,2
todos,0.43,busca_limiar,0.8004767246214246,0.8048261146828423,0.8004067910636513,2
todos,0.5,busca_limiar,0.7984436343241728,0.8043672759432962,0.7984436043574463,2
todos,0.56,busca_limiar,0.7961476444195177,0.8042407483375261,0.7960218328029434,2
todos,0.7,busca_limiar,0.7900308468872687,0.8031611157953862,0.788557966544936,2
todos,0.42,busca_limiar,0.7988467470555244,0.8027539513303734,0.7987339030016036,2
