Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,346.48,1,1,0.9347815091075294,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,279.86,0,0,0.3324642277066177,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,739.94,0,1,0.5004588511587077,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,521.04,1,1,0.9545535635142235,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,264.52,0,0,0.31726494544737993,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,656.49,1,1,0.9801113028806712,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,169.57,0,0,0.14662302110710793,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,177.9,0,0,0.32134451937037395,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,643.56,1,1,0.9801113028806712,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,517.74,1,1,0.9877375655069337,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,540.79,0,0,0.45565421107540366,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,366.95,1,1,0.940255819710894,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,561.43,0,0,0.44320651373757636,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,259.62,0,1,0.6045831419615815,False
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,90.87,0,0,0.10647275473391894,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,463.83,0,0,0.4136037484007676,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,333.01,1,1,0.9999994702688385,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,259.74,0,0,0.15392759283929094,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,269.32,1,1,0.9985520477200132,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,689.23,1,1,0.9592593371191455,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,671.56,0,0,0.4648198077932145,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,622.28,1,1,0.9525926704524788,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,733.48,0,0,0.42208082643419337,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,195.45,0,1,0.5689351136202019,False
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,443.66,0,0,0.4611994348987242,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,270.59,1,1,0.9827698401501385,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,409.81,1,1,0.9491582881916242,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,479.97,1,1,0.9596507566683504,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,724.21,1,1,0.8709306537938857,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,350.26,1,1,0.9404565650734305,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,316.38,0,0,0.4772243857308364,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,509.96,1,1,0.9811092749588902,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,521.3,0,0,0.32704474541496875,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,559.41,0,0,0.445747969523105,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,295.77,1,1,0.7350537978780417,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,165.38,1,1,0.9765504396954366,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,252.6,0,0,0.15499229652628996,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,675.22,0,0,0.48100654895073464,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,461.45,1,1,0.9635952456698925,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,570.86,1,1,0.9792190773458519,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,535.89,1,1,0.9845230971327357,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,351.36,1,1,0.8682451121507592,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,373.62,1,1,0.9719960735753617,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,307.76,0,0,0.034788200345055274,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,564.53,1,1,0.9258984456430698,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,629.24,1,1,0.9065226529029522,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,252.03,1,1,0.9938082274378701,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,720.33,0,0,0.44170268063406976,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,417.46,0,0,0.3298802443204579,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,247.83,0,0,0.37606820999458745,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,420.59,0,0,0.2847106426478997,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,231.4,0,0,0.3344059976644672,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,262.5,1,1,0.986636066744556,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,397.54,1,1,0.9844396843156155,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,405.52,0,0,0.27446713133799244,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,198.68,1,1,0.9690939426129994,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,135.52,1,1,0.5625780966122591,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,482.57,1,1,0.9870265121464052,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,605.33,1,1,0.912709151365341,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,204.5,0,0,0.35557685624617197,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,733.75,1,1,0.9264326703044263,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,477.28,1,1,0.9533857202213617,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,350.36,1,1,0.9838514490214978,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,488.87,0,0,0.346449241330613,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,419.14,0,0,0.365869498027544,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,273.09,0,0,0.10009461618762991,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,171.87,1,1,0.9783505925452761,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,183.46,1,1,0.9866456131647444,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,413.98,0,0,0.3626980581711469,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,553.08,1,1,0.9834573374955475,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,271.79,1,1,0.9985253748047905,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,367.02,1,1,0.8791781765527551,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,411.78,0,0,0.32950901737516275,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,644.0,1,1,0.9492593371191455,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,429.66,0,0,0.3238118255609651,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,642.78,1,1,0.9048127962881991,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,257.49,0,1,0.6144095388202979,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,214.37,0,1,0.5557034108927734,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,547.14,1,1,0.9343034032596232,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,614.4,0,0,0.42291262762079396,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,478.59,0,0,0.42320718507517785,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,444.98,0,0,0.3535931683965983,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,367.12,1,1,0.9194385565158429,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,597.0,1,1,0.974927346266778,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,283.88,1,1,0.9989647076458407,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,176.27,1,1,0.9513108186984791,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,111.45,0,0,0.030230637703517416,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,367.64,1,1,0.9369916726850761,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,268.61,1,1,0.95156880558918,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,412.38,0,0,0.26597743637886884,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,667.74,0,0,0.24671994837697686,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,212.91,1,1,0.9680638306588425,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,420.24,1,1,0.8862121678726147,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,327.44,0,0,0.12192618587346256,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,139.93,0,0,0.2956421873750733,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,267.42,0,0,0.21065321130274978,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,284.77,1,1,0.980231308226827,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,164.26,1,1,0.9484816448007308,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,320.61,0,0,0.12834017320183788,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,219.07,0,1,0.5540233995302951,False
