Coleta,Dia,Vaso,Tempo,Soil,Soil_indice_0_1,faixa_soil,Classe,predito,prob_sem_nematoide,acertou
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,551.52,152.0,0.0508417508417508,seco,0,0,0.456875935934046,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,551.92,151.0,0.0505050505050505,seco,0,0,0.451461010818597,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,552.15,154.0,0.0515151515151515,seco,0,0,0.4486532831521121,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,552.4,158.0,0.0528619528619528,seco,0,0,0.478651557694223,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,552.66,158.0,0.0528619528619528,seco,0,0,0.4718759887885433,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,552.9,156.0,0.0521885521885521,seco,0,0,0.4823558054460036,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,553.14,155.0,0.0518518518518518,seco,0,0,0.4753923642426431,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,553.37,151.0,0.0505050505050505,seco,0,0,0.4462604282542256,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,553.61,149.0,0.0498316498316498,seco,0,0,0.444112674068889,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,553.85,152.0,0.0508417508417508,seco,0,0,0.4574121823010207,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,554.08,154.0,0.0515151515151515,seco,0,1,0.602299052463155,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,554.32,161.0,0.0538720538720538,seco,0,1,0.5029186086400128,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,554.55,153.0,0.0511784511784511,seco,0,0,0.4655958267633671,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,554.85,152.0,0.0508417508417508,seco,0,0,0.4563189310086964,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,555.09,157.0,0.0525252525252525,seco,0,0,0.4889777027883442,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,555.32,151.0,0.0505050505050505,seco,0,0,0.4471179204812723,True
