Coleta,Dia,Vaso,Classe_real,prob_classe_1_saudavel,pred_limiar_050,pred_limiar_0.57
dia 20 sem pressao - Soja Heter,20,,0,0.24641533589271034,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2483943533702166,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24590092017450021,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24590092017450021,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2480204286021046,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2505639069548195,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2431727308013698,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24401635220054677,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24757158564152676,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24723446135233101,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.228957229500683,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24525684114975124,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2449485392221193,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2215372880394804,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22568036616534698,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23264677779792783,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23596130771245777,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2382806270030114,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24091405763841056,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2381322810602729,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2459019257049175,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24327632122147497,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24327632122147497,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24438743233258609,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24647903580069988,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21970400056624476,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24472355109136457,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24293715143984995,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2443864268021688,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24404826255096104,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24426524494918198,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2397686111632065,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2439259423308508,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23556717330436727,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23926489441829257,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24386482785501143,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21462483174516866,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2416426056327892,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23182587757769688,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23719916671876207,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23072199555644332,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22749951468581003,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22576635951779528,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22948561501170883,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22948561501170883,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24397550467195706,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2464689378676734,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22200607581370332,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24403920457994657,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24403920457994657,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2446124507654657,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24403920457994657,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2464689378676734,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24437733439955964,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24104400106622628,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24404021011036386,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24437632886914232,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24724292468958875,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24613181357847766,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24292909899925275,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.24502070246736654,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23940419812466837,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23849278768794147,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21990095598799525,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22420577474710646,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2252772924635878,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2174299547596793,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2218468029612187,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22797367970341245,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22491395490223137,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22271727546417266,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22286852374763366,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22583005942578482,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22693678374739917,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23170783723393104,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23239932072905345,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21881966147068055,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.23245974302314593,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22438078406346598,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22658810424908313,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22547785683377083,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.226403305611304,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.22315309803488026,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21977302171233318,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2201046456439571,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2136976453896429,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21651675605590553,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21622072173031406,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21523043008298073,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21288909779869017,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21412576023459756,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2142592306271407,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21208634610801486,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21117494506086912,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2111732356591597,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21266880731777482,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21570850598945956,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21137293633354393,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21061884437533737,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2137572168268838,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21213435180602055,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21196973663641772,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21545194124109074,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21617707093666327,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2124927013376848,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2123306430665671,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21473628376723733,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21059998947364053,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2115576962066637,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2134417541776782,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2175774045000403,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21453183224968156,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21371196036612383,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2141984188416454,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21097694439861317,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21197619661942316,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2164550269151253,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21510961061920297,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21197619661942316,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2100621245480486,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2111732356591597,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2153095299527565,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21510961061920297,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2141176095701602,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20868651407974065,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2111732356591597,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2141984188416454,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2141984188416454,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21617859180469784,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21208805550972426,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2141176095701602,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21171110058475165,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2111732356591597,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21372879121471525,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2111732356591597,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.212019847413074,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21261768010360413,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21465547449575215,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21282221169586274,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21204822487394742,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21315554502919606,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21248404744465502,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21228434677027078,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2111732356591597,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21261768010360413,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20548735275364804,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2077095749758703,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2077095749758703,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20915885033818912,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20307843594605055,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20621206860499963,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2047627932426808,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20790927565025452,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20921966212368445,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20824743990146222,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20824743990146222,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2077095749758703,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.203697978427866,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20365168213156967,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20307843594605055,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20882068608698143,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2058739043537919,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20790927565025452,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2052844769384993,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20824743990146222,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21059998947364053,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21171110058475165,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21059998947364053,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21137293633354393,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2123306430665671,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20799805751242373,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.19782576949906042,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20795176121612743,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2100621245480486,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20795176121612743,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21228434677027078,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2111732356591597,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2111732356591597,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21044346357938765,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20799805751242373,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20899901913494318,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21044346357938765,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21121953195545598,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20788619862212265,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2068869464013126,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20991212958379835,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20899901913494318,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20899730973323377,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21091138180460836,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.20899901913494318,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21154714739080901,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21038233800576367,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2141982001824761,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.2119433930459437,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.214714923559907,0,0
dia 20 sem pressao - Soja Heter,20,,0,0.21416390586645653,0,0
