Coleta,Dia,Vaso,Tempo,Soil,Temp.,Pres.,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,107.73,2879.0,23.4,93.49,13552,18892,1075,8775,22897,12809,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,107.9,2856.0,23.4,93.49,13555,18896,1076,8758,22897,12809,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,108.07,2864.0,23.4,93.5,13554,18837,1076,8777,22889,12809,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,108.25,2870.0,23.4,93.5,13554,18895,1076,8775,22895,12808,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,108.42,2876.0,23.4,93.49,13555,18891,1078,8784,22896,12807,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,108.61,2874.0,23.4,93.49,13476,18875,1077,8780,22885,12804,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,108.8,2886.0,23.4,93.49,13554,18782,1077,8778,22899,12808,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,108.98,2880.0,23.4,93.49,13555,18900,1078,8787,22871,12757,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,109.17,2857.0,23.4,93.5,13556,18900,1079,8786,22869,12799,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,109.35,2898.0,23.4,93.5,13558,18907,1080,8795,22900,12797,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,109.54,2873.0,23.4,93.5,13559,18881,1078,8787,22900,12795,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,109.72,2871.0,23.4,93.5,13555,18844,1080,8803,22891,12796,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,109.9,2873.0,23.4,93.49,13553,18906,1081,8811,22899,12789,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,110.09,2884.0,23.4,93.49,13557,18902,1080,8816,22902,12789,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,110.28,2844.0,23.5,93.49,13560,18902,1082,8818,22903,12789,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,110.46,2871.0,23.4,93.49,13560,18912,1080,8820,22905,12789,1
