Coleta,Dia,Classe,n_total,Pres_antes,Pres_1200_1300,Pres_depois,Pres_delta_pct,MQ2_delta_pct,MQ3_delta_pct,MQ7_delta_pct,MQ8_delta_pct,MQ135_delta_pct,MQ138_delta_pct,media_abs_delta_sensores_pct,media_delta_sensores_pct
dia 12 - Soja Saudavel Vaso 2,12,1,2540,93.7113,93.71019801980196,93.7089,-0.0011759309688689097,1.3595636319563424,0.8678720378489675,0.9072239433049399,-0.1598592149897977,0.6926469355956807,0.03189055371507084,0.6698427195684665,0.6165563145718673
dia 13 - Soja Saudavel Vaso 1,13,1,2233,93.56449999999995,93.56752475247521,93.56679999999997,0.0032327992724327666,0.12613667459882266,0.434337268011588,0.11075981850105349,-0.3421313629408037,0.2524545815590912,0.1275124455230807,0.2322220251890733,0.1181782375421387
dia 13 - Soja Saudavel Vaso 3,13,1,2395,93.55609999999996,93.55475247524745,93.55519999999997,-0.0014403387406098159,0.0476581802656624,-0.7463092362292308,0.04671029531488528,0.2926667740809795,-0.7537592383332586,0.03763684952008484,0.3207900956240169,-0.17923272923014624
dia 13 - Soja Saudavel Vaso 4,13,1,1781,93.56509999999997,93.56633663366334,93.56609999999996,0.0013216826181637923,0.21621649760028752,-0.6533345260456517,0.21165422127390932,-0.77877584258069,-1.007619785160257,0.20892582780205582,0.5127544500771419,-0.30048893451839104
dia 13 - Soja Saudavel Vaso 5,13,1,2236,93.56479999999996,93.56683168316827,93.56639999999997,0.0021714182772921186,0.2507526403052146,0.31053584725098365,0.26867809969192363,2.2662378962460665,0.3603502403408072,0.2529725856182521,0.6182545515755412,0.6182545515755412
dia 18 - Soja Heterodera Vaso 1,18,0,1382,93.47969999999998,93.47821782178215,93.48037037037037,-0.001585561590192703,0.20767410736604427,0.12001743368960664,0.7799758812642998,0.20017908853054805,0.07341374042069983,-0.2562603749158736,0.27292010436451203,0.18749997939255417
dia 18 - Soja Heterodera Vaso 6,18,0,1732,93.54679999999996,93.54465346534651,93.54709999999999,-0.0022946104553532402,0.37850738719756466,0.1575916034815903,0.9467969759320112,0.37934493853543017,0.07266008116141649,0.4760179624144897,0.4018198247870837,0.4018198247870837
dia 18 - Soja Heterodera Vaso 7,18,0,1719,93.52760000000002,93.52801980198022,93.52700000000003,0.0004488535792647498,0.330309246384944,0.0913569635710887,0.6763068510229998,0.34895656623291266,0.09341446274841197,0.27243656887453044,0.3021301098058146,0.3021301098058146
dia 18 - Soja Heterodera Vaso 8,18,0,1405,93.53350000000002,93.53673267326734,93.53490000000002,0.003456166258420562,0.4568890170118728,0.20108088498963908,0.3868892945822184,0.3305298963201456,0.155619193837705,0.36031972885852814,0.3152213359333515,0.3152213359333515
dia 18 - Soja Heterodera Vaso 9,18,0,1332,93.54070000000002,93.53960396039608,93.53967741935483,-0.0011717248255963023,0.5673215374178334,0.1289766135509215,-2.617237719088062,-0.7627603018786746,0.09184427608281208,0.5536620401096971,0.7869670813546666,-0.33969892563424536
