feature_set,modelo,fold,accuracy,balanced_accuracy,f1_macro
mq_mais_razoes,random_forest,5,0.810636743908107,0.8239795785256971,0.8087062383949534
mq_mais_razoes,random_forest,media_oof,0.8439056042204449,0.8353417321977579,0.839306783260761
mq_mais_razoes,logistic_scaled,1,0.9493453530800601,0.9464269391989224,0.9484251176468503
mq_mais_razoes,logistic_scaled,2,0.5742881919352507,0.4960804430049844,0.39432646007629124
mq_mais_razoes,logistic_scaled,3,0.8806682577565632,0.8731444644186326,0.8769530550017115
mq_mais_razoes,logistic_scaled,4,0.869776417354272,0.8790973538213624,0.8696233043580754
mq_mais_razoes,logistic_scaled,5,0.6444459199256357,0.6567091320710139,0.6408259840630567
mq_mais_razoes,logistic_scaled,media_oof,0.7819107669304445,0.7761245708705751,0.7778022313598316
razoes_com_mq7,extra_trees,1,0.7289833297560278,0.7415880455553858,0.7288024157084483
razoes_com_mq7,extra_trees,2,0.6808787397022691,0.6646768522195792,0.6664091773793739
razoes_com_mq7,extra_trees,3,0.839479559627377,0.8285643808584114,0.8309846769023853
razoes_com_mq7,extra_trees,4,0.9347883949960074,0.9399141630901288,0.934762049169704
razoes_com_mq7,extra_trees,5,0.8347387291680499,0.8464218546790373,0.8337284380068976
razoes_com_mq7,extra_trees,media_oof,0.8059328847700055,0.8078147576300468,0.8051262689511111
razoes_com_mq7,random_forest,1,0.7083780496530013,0.7193376939910494,0.7083212761039783
razoes_com_mq7,random_forest,2,0.6623066917184565,0.6136756055072145,0.6014598292270243
razoes_com_mq7,random_forest,3,0.88020632843175,0.8720605163624404,0.8760337936847986
razoes_com_mq7,random_forest,4,0.8263907372903913,0.8400367872470877,0.8250264308676922
razoes_com_mq7,random_forest,5,0.9457539340017264,0.9490289402898449,0.9456866749851682
razoes_com_mq7,random_forest,media_oof,0.806313740425712,0.8049344210568916,0.8045162513097464
razoes_com_mq7,logistic_scaled,1,0.4953137296987909,0.504984241063536,0.49494237286218523
razoes_com_mq7,logistic_scaled,2,0.397456279809221,0.43130733164301804,0.3876859224578228
razoes_com_mq7,logistic_scaled,3,0.6450843021017785,0.6314141091977089,0.6204199138644728
razoes_com_mq7,logistic_scaled,4,0.5566276284269364,0.5806702633207916,0.5313371002046241
razoes_com_mq7,logistic_scaled,5,0.3744107296992232,0.3710952293277014,0.37123120425184153
razoes_com_mq7,logistic_scaled,media_oof,0.49096525750074055,0.497971435811074,0.4908104793374165
mq7_mais_razoes_mq7,extra_trees,1,0.7359948486799742,0.7496516615955571,0.7356870070568701
mq7_mais_razoes_mq7,extra_trees,2,0.6809510044804162,0.6634508628318513,0.6653808541886503
mq7_mais_razoes_mq7,extra_trees,3,0.8343983370544307,0.8231376418352245,0.8252104998023813
mq7_mais_razoes_mq7,extra_trees,4,0.9352541921746074,0.9403433476394849,0.9352268073546584
mq7_mais_razoes_mq7,extra_trees,5,0.8277670805391408,0.83988177810898,0.8265473043886377
mq7_mais_razoes_mq7,extra_trees,media_oof,0.8050160100433047,0.806930497821807,0.8042158985391508
mq7_mais_razoes_mq7,random_forest,1,0.7111683480002862,0.7218752783792487,0.7111304938297816
mq7_mais_razoes_mq7,random_forest,2,0.6773377655730597,0.6280664924732147,0.6169864595029687
mq7_mais_razoes_mq7,random_forest,3,0.8785125875741011,0.8702516033547114,0.8741997795177141
mq7_mais_razoes_mq7,random_forest,4,0.8217327655043918,0.8357449417535254,0.8201788362478892
mq7_mais_razoes_mq7,random_forest,5,0.9461523139233783,0.949397762517531,0.9460840267066672
mq7_mais_razoes_mq7,random_forest,media_oof,0.8085847685949248,0.807114200044474,0.8067664335523422
mq7_mais_razoes_mq7,logistic_scaled,1,0.8043929312441869,0.8195147240035843,0.8040950724451755
mq7_mais_razoes_mq7,logistic_scaled,2,0.5838994074288192,0.5788871470977562,0.5769944026584214
mq7_mais_razoes_mq7,logistic_scaled,3,0.8798213873277388,0.8789335668913596,0.8792312203008432
mq7_mais_razoes_mq7,logistic_scaled,4,0.6736092627096087,0.6749505591638363,0.6730364690092259
mq7_mais_razoes_mq7,logistic_scaled,5,0.3784609255693513,0.37521980516261666,0.37535511758074425
mq7_mais_razoes_mq7,logistic_scaled,media_oof,0.6569619003286643,0.6583440191174403,0.6559619437523188
