dataset,features_set,sensor,extra_trees_importance,queda_balanced_accuracy_por_permutacao,desvio_permutacao,mutual_info,media_doente_classe_0,media_saudavel_classe_1,diferenca_media_1_menos_0,cohen_d_abs,accuracy_holdout,balanced_accuracy_holdout,f1_macro_holdout,treino_linhas,teste_linhas
dia_20_mais,mq,MQ138,0.14411176932491113,0.05017628030510647,0.0018677355972752223,0.4019209048160164,5089.898975850298,5830.636061612806,740.7370857625083,0.40216782208314916,0.8188816422538223,0.8085443037974683,0.8082840595540762,17842,9353
dia_20_mais,mq,MQ3,0.13973658678937453,0.024454679023508147,0.0015109807416910015,0.2692946299231267,10891.987609052978,9673.097050236585,-1218.8905588163925,0.8095255588215261,0.8188816422538223,0.8085443037974683,0.8082840595540762,17842,9353
dia_20_mais,mq_ambiente,Temp.,0.17454667454307585,0.07926582104216218,0.003054542160841223,0.3147705498744875,37.65894550512075,32.81495016611296,-4.84399533900779,1.5834003964805816,0.8443280230941944,0.8354430379746836,0.8371700922964844,17842,9353
dia_20_mais,mq_ambiente,Pres.,0.14492937929978908,0.1627190760700684,0.002314386064046563,0.36954447872051843,93.78894550512076,93.79976442162487,0.010818916504106824,0.10455764878077331,0.8443280230941944,0.8354430379746836,0.8371700922964844,17842,9353
dia_20_mais,mq_ambiente,Soil,0.11856606192739055,0.0,0.0,0.3423791893661572,2546.4884309015047,2602.8887546561964,56.400323754691726,0.2620809575020179,0.8443280230941944,0.8354430379746836,0.8371700922964844,17842,9353
dia_20_mais,mq_ambiente,MQ135,0.11025708239033395,0.022264918625678157,0.0004828211881395422,0.3925022050701259,12046.454292578075,10652.902043692742,-1393.552248885333,0.6980129185679185,0.8443280230941944,0.8354430379746836,0.8371700922964844,17842,9353
dia_20_mais,mq_ambiente,MQ7,0.10532744603781813,0.0,0.0,0.5357435314060228,2770.82071058288,1196.4957213329305,-1574.3249892499496,0.42794927264694316,0.8443280230941944,0.8354430379746836,0.8371700922964844,17842,9353
dia_20_mais,mq_ambiente,MQ8,0.09754878713498552,0.00043795207956605353,0.0001825673596196976,0.40559084540035606,3724.6981919332407,3942.8974126648545,218.19922073161388,0.1994586328197611,0.8443280230941944,0.8354430379746836,0.8371700922964844,17842,9353
dia_20_mais,mq_ambiente,MQ2,0.08547215484068749,0.001422187031434069,0.0002097441466414876,0.4050987220035549,6437.195599949425,4453.571931944025,-1983.6236680053998,0.8481659996177116,0.8443280230941944,0.8354430379746836,0.8371700922964844,17842,9353
dia_20_mais,mq_ambiente,MQ3,0.08196113376075241,0.005085895117540734,0.0002710121792106913,0.27084595228061414,10891.987609052978,9673.097050236585,-1218.8905588163925,0.8095255588215261,0.8443280230941944,0.8354430379746836,0.8371700922964844,17842,9353
