Coleta,Dia,Vaso,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe,cluster_kmeans
dia 11 - Soja Heterodera Vaso 6,11,6,6840,14113,480,3097,19905.0,12642.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6844,14153,478,3094,19866.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6842,14121,477,3097,19904.0,12640.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6807,13911,480,3097,19905.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6843,14131,479,3095,19894.0,12640.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6842,14124,478,3096,19901.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6843,14109,479,3098,19913.0,12643.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6841,14104,479,3098,19932.0,12645.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6848,14108,479,3098,19899.0,12625.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6817,14179,480,3097,19887.0,12644.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6840,14126,478,3096,19898.0,12643.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6851,14169,481,3098,19891.0,12643.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6849,14159,480,3098,19861.0,12642.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6850,14168,480,3100,19890.0,12643.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6854,14175,480,3100,19880.0,12642.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6849,14142,481,3098,19904.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6855,14198,481,3099,19887.0,12642.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6856,14195,482,3099,19884.0,12622.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6859,14222,482,3100,19874.0,12638.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6856,14205,481,3101,19884.0,12637.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6861,14247,482,3102,19864.0,12637.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6859,14199,481,3101,19875.0,12638.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6858,14201,481,3100,19880.0,12636.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6862,14237,482,3102,19873.0,12636.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6850,14258,480,3100,19862.0,12636.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6854,14264,481,3100,19863.0,12637.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6862,14238,482,3101,19875.0,12637.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6860,14249,481,3103,19882.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6860,14210,482,3102,19892.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6863,14205,482,3101,19890.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6864,14207,481,3102,19866.0,12643.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6844,14137,480,3100,19911.0,12642.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6865,14244,485,3106,19879.0,12642.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6860,14184,485,3105,19910.0,12636.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6851,14226,487,3107,19886.0,12642.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6866,14268,488,3109,19866.0,12642.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6860,14225,490,3110,19893.0,12641.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6867,14284,491,3113,19867.0,12624.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6849,14240,494,3114,19877.0,12640.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6864,14270,494,3116,19870.0,12640.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6859,14244,495,3116,19860.0,12636.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6853,14105,496,3116,19878.0,12637.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6861,14241,499,3118,19885.0,12635.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6860,14202,498,3119,19876.0,12633.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6854,14237,499,3120,19887.0,12632.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6858,14238,499,3120,19879.0,12631.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6853,14256,499,3121,19874.0,12612.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6863,14267,499,3120,19873.0,12632.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6861,14275,500,3121,19872.0,12632.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6857,14219,500,3123,19875.0,12631.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6864,14255,501,3123,19873.0,12630.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6864,14285,501,3123,19878.0,12630.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6862,14260,501,3124,19883.0,12630.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6858,14311,502,3124,19859.0,12627.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6868,14300,501,3123,19860.0,12628.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6857,14280,503,3126,19875.0,12610.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6849,14216,502,3126,19897.0,12628.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6858,14267,503,3125,19886.0,12626.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6861,14255,504,3125,19882.0,12625.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6856,14225,504,3126,19865.0,12624.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6860,14255,503,3128,19881.0,12623.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6866,14238,505,3126,19875.0,12621.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6861,14262,505,3128,19872.0,12620.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6867,14297,504,3127,19871.0,12619.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6867,14295,506,3127,19874.0,12618.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6866,14286,506,3128,19875.0,12619.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6871,14356,505,3129,19850.0,12618.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6870,14304,507,3129,19867.0,12618.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6869,14312,506,3129,19868.0,12619.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6867,14266,506,3129,19882.0,12620.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6863,14256,505,3128,19885.0,12620.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6870,14294,506,3128,19853.0,12617.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6869,14296,506,3131,19875.0,12616.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6866,14305,506,3130,19882.0,12616.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6869,14283,505,3131,19880.0,12614.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6856,14152,504,3127,19909.0,12615.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6854,14218,506,3128,19903.0,12615.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6843,14199,504,3130,19900.0,12614.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6876,14225,479,3106,19892.0,12614.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6885,14259,481,3106,19879.0,12615.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6886,14289,481,3106,19878.0,12598.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6862,14219,479,3105,19900.0,12615.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6873,14194,481,3106,19892.0,12616.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6878,14219,478,3106,19907.0,12614.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6884,14267,480,3106,19861.0,12614.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6886,14272,481,3104,19885.0,12614.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6884,14262,478,3104,19889.0,12615.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6887,14282,480,3106,19882.0,12613.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6882,14232,480,3107,19905.0,12616.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6888,14290,483,3109,19880.0,12617.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6878,14256,486,3111,19885.0,12618.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6874,14251,489,3116,19887.0,12614.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6875,14270,493,3120,19888.0,12619.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6875,14268,497,3121,19890.0,12620.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6876,14264,499,3125,19884.0,12622.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6872,14225,500,3126,19911.0,12623.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6876,14277,501,3127,19891.0,12622.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6870,14230,501,3127,19902.0,12605.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6859,14228,501,3127,19915.0,12623.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6877,14283,504,3130,19888.0,12622.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6874,14264,504,3130,19869.0,12622.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6868,14240,503,3131,19911.0,12622.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6874,14257,504,3131,19898.0,12621.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6867,14198,504,3129,19926.0,12622.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6876,14264,504,3130,19891.0,12620.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6869,14172,503,3129,19919.0,12620.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6857,14211,503,3130,19915.0,12621.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6874,14253,505,3132,19904.0,12620.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6872,14252,505,3132,19903.0,12619.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6874,14252,504,3132,19904.0,12619.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6876,14251,505,3133,19899.0,12618.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6873,14242,505,3132,19909.0,12618.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6873,14258,504,3133,19903.0,12619.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6877,14262,505,3133,19897.0,12619.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6874,14270,505,3133,19897.0,12618.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6870,14222,505,3133,19932.0,12618.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6906,14467,508,3136,19836.0,12614.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6878,14352,507,3135,19872.0,12613.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6886,14342,506,3134,19878.0,12610.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6882,14316,505,3133,19885.0,12588.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6879,14297,505,3133,19891.0,12604.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6871,14253,503,3131,19900.0,12587.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6882,14311,504,3131,19885.0,12603.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6879,14277,505,3132,19892.0,12602.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6869,14277,504,3131,19904.0,12605.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6866,14187,502,3131,19930.0,12603.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6877,14245,503,3132,19900.0,12603.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6881,14229,504,3134,19903.0,12602.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6878,14268,504,3131,19889.0,12600.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6896,14393,504,3135,19862.0,12600.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6896,14410,505,3134,19857.0,12598.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6900,14413,506,3135,19856.0,12597.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6891,14360,505,3135,19869.0,12592.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6892,14363,505,3134,19849.0,12590.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6893,14369,505,3133,19874.0,12591.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6896,14386,505,3134,19867.0,12588.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6900,14399,505,3133,19866.0,12585.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6899,14393,506,3135,19865.0,12584.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6894,14430,506,3137,19853.0,12582.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6894,14367,504,3135,19875.0,12581.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6895,14348,505,3135,19874.0,12579.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6893,14360,505,3136,19877.0,12576.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6874,14205,503,3134,19919.0,12572.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6892,14345,505,3135,19885.0,12571.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6893,14339,505,3135,19887.0,12569.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6897,14366,505,3135,19878.0,12564.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6894,14355,505,3136,19852.0,12560.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6893,14349,505,3135,19884.0,12559.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6895,14356,505,3135,19879.0,12556.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6897,14361,505,3135,19879.0,12555.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6895,14348,505,3136,19885.0,12555.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6890,14312,504,3137,19896.0,12553.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6897,14351,505,3137,19885.0,12551.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6899,14356,505,3137,19879.0,12551.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6897,14328,505,3135,19889.0,12549.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6896,14332,504,3136,19921.0,12547.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6882,14236,504,3134,19924.0,12528.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6901,14371,504,3137,19880.0,12543.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6901,14377,505,3136,19878.0,12542.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6895,14332,504,3138,19920.0,12543.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6879,14219,503,3136,19927.0,12546.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6882,14219,504,3136,19921.0,12547.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6880,14227,504,3135,19922.0,12547.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6880,14202,503,3134,19924.0,12546.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6905,14390,506,3138,19872.0,12547.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6874,14149,503,3136,19927.0,12528.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6851,14017,501,3132,19995.0,12544.0,0,0
