Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,648.66,1,1,0.7440125661289878,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,262.11,0,0,0.30996119637949554,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,351.36,1,1,0.994059545608679,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,578.16,1,1,0.9221451878371765,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,241.17,1,1,0.998674683061981,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,340.36,1,0,0.3185193635538482,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,207.38,1,1,0.9316735498028438,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,472.19,0,0,0.47216057353198204,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,153.78,0,0,0.1794611891259411,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,480.66,0,0,0.08476648949296525,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,336.39,0,0,0.052893149395542405,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,337.04,0,0,0.10443781010032559,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,240.36,0,0,0.29639738230733054,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,370.69,0,0,0.0785348734432278,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,455.86,1,1,0.8751044657179771,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,290.36,0,0,0.047309816062209076,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,107.57,0,0,0.33700764326068094,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,289.58,1,1,0.9951706567197901,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,564.14,1,1,0.9097509298197431,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,541.7,1,1,0.9985106935892386,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,434.01,1,1,0.6748282127806917,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,421.68,1,1,0.6600451980960524,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,178.42,1,1,0.6788680219867086,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,289.67,1,0,0.22526688927014946,False
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,473.91,1,1,0.9951706567197901,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,579.43,1,1,0.9230882762197606,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,691.96,1,1,0.7710686777874843,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,95.71,0,0,0.3862322793704871,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,221.38,0,0,0.1312969817011386,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,205.35,1,1,0.8078164514019814,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,601.89,1,1,0.9985106935892386,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,290.58,0,0,0.4414653511223683,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,587.93,1,1,0.9247124873959504,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,405.15,1,0,0.30794992907478846,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,544.53,0,0,0.30694586359958176,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,583.48,1,1,0.7308812857783664,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,516.2,1,1,0.9985106935892386,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,571.6,1,1,0.9083439171627053,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,573.0,1,1,0.9985333034083601,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,284.53,0,0,0.4380120171468816,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,292.48,1,1,0.942649069093085,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,459.64,1,1,0.701549540764281,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,510.74,1,1,0.9074297445593925,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,270.91,0,0,0.3192825702778212,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,641.11,0,0,0.13132217646866298,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,179.91,0,0,0.1936114856179843,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,508.1,1,1,0.997998997682806,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,179.62,1,1,0.7720312508904126,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,601.07,1,1,0.926985651814327,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,410.91,0,0,0.3421811515190971,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,464.19,0,0,0.2228310857766679,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,116.27,0,0,0.23481202685196995,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,135.1,0,0,0.21365752272605076,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,678.56,1,1,0.9413615549563468,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,591.45,1,1,0.9240839917955024,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,108.98,0,0,0.33553703272097346,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,295.95,1,1,0.9951706567197901,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,360.37,0,0,0.24050272191116118,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,663.18,1,1,0.938162115178061,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,373.32,0,0,0.2240946373150412,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,544.3,0,0,0.3336097030115126,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,724.11,1,1,0.7700066524238738,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,204.47,1,1,0.9986832054866108,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,627.13,0,0,0.09817255816416452,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,532.71,1,1,0.724825989880057,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,564.26,1,1,0.7323555172978066,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,671.58,0,0,0.14196901186346206,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,651.79,1,1,0.9362856152544401,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,100.86,1,0,0.1974822510755819,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,305.42,0,0,0.44803756432160186,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,143.31,0,0,0.02971212241555981,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,440.61,1,1,0.9951706567197901,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,181.79,0,1,0.5201498497753314,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,283.49,0,0,0.3234868605881509,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,244.88,0,1,0.5204323902781534,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,262.65,0,0,0.42380228015413485,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,368.81,0,0,0.08210827819695636,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,157.16,1,1,0.9210605891836624,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,558.33,1,1,0.7264758947627616,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,717.25,1,1,0.7668930528383282,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,271.46,0,1,0.7338312521118441,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,196.15,0,1,0.5228181576459917,False
