Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,142.23,1,1,0.997160738515911,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,281.73,0,0,0.15899504776949788,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,223.74,1,1,0.98310516337588,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,326.74,0,0,0.12698051306278232,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,406.91,1,1,0.9798130333954597,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,693.05,1,1,0.9296065591924131,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,122.91,1,0,0.3291438527139603,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,665.87,1,1,0.9372795151672558,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,410.67,1,1,0.9798130333954597,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,660.97,0,1,0.6371264009710317,False
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,443.29,1,1,0.6475088487081305,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,679.29,1,1,0.9761169671815435,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,172.5,1,0,0.4494832438591301,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,274.15,1,1,0.9991045084390531,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,661.64,1,1,0.938390626278367,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,171.23,0,0,0.020671205412875728,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,211.16,0,0,0.34172180480855047,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,219.31,0,1,0.5441004244203977,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,680.77,1,1,0.9453108032210009,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,609.96,0,0,0.37838532977926514,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,467.9,1,1,0.9894899226884122,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,661.18,1,1,0.9042608344258286,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,168.12,0,0,0.07536836393846279,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,671.53,1,1,0.9350572929450337,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,237.08,1,1,0.9900997918983727,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,210.69,0,0,0.3379498167469496,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,575.57,1,1,0.97645802347492,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,404.54,1,1,0.952978089838705,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,91.46,0,0,0.09533182210855307,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,456.5,1,1,0.9956727923537059,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,394.58,0,0,0.22028786110523418,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,94.69,1,0,0.30813728795760775,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,564.69,0,0,0.4131455542144581,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,434.38,1,1,0.9542858761675728,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,695.25,0,1,0.6230650432832804,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,588.87,1,1,0.979032011788194,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,426.17,0,0,0.31593510411424397,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,441.18,0,0,0.3406823182713232,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,272.47,1,1,0.9991045084390531,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,169.1,0,0,0.14906120882775922,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,352.5,1,1,0.555928621524282,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,565.51,1,1,0.9795261358493672,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,89.11,0,0,0.08754986264158247,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,287.23,0,0,0.35140175803573936,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,555.32,1,1,0.947893028666434,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,187.2,1,1,0.9981037499219182,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,221.07,1,1,0.9992260314466985,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,692.71,1,1,0.9452059356315802,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,245.8,0,0,0.376345745376693,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,217.33,1,1,0.9990684207438161,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,150.71,0,0,0.04094349461641822,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,240.92,0,0,0.3465410531822704,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,258.14,1,1,0.9990843064188512,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,451.29,0,0,0.2004069121018078,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,223.23,0,0,0.1345563714718216,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,371.38,0,0,0.4397261712798778,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,399.39,0,0,0.368528114261043,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,265.82,0,0,0.22964516308489477,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,666.16,0,1,0.6117689772047455,False
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,264.12,0,0,0.04250196930957355,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,657.85,0,0,0.2561421514281115,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,482.2,1,1,0.9798130333954597,True
