threshold,accuracy,balanced_accuracy,f1_macro
0.8100000000000002,0.49191843415399306,0.48043612355761295,0.4609413141811808
0.28,0.4660710632203505,0.479517119265319,0.43765722822518727
0.23000000000000004,0.45434085794175816,0.4777601147845783,0.34363173561059684
0.6200000000000001,0.4772556775557526,0.477290919759945,0.47692978345895753
0.29000000000000004,0.4637523017117916,0.47618581033490337,0.43996424267157286
0.8600000000000002,0.49239582622928457,0.47505968256989084,0.4222253150035061
0.6100000000000001,0.47289095001022985,0.4731632088558765,0.4726731455607529
0.8500000000000002,0.48523494509991133,0.4698494292023386,0.42977166821130103
0.6000000000000002,0.4683898247289095,0.46918504255444193,0.4683326924611499
0.8400000000000002,0.4810066152901862,0.46647523464882207,0.4312495285278857
0.24000000000000005,0.44281524926686217,0.4642739436954776,0.3517022558350564
0.30000000000000004,0.4520220964331992,0.46335713172892407,0.4323149765843646
0.5900000000000002,0.4607515515242447,0.4621047166722174,0.46075146123296495
0.5800000000000002,0.4585691877514833,0.46009959689193514,0.45856129043237787
0.27,0.4441110277569392,0.4589400058399826,0.4065265649671579
0.5700000000000002,0.45713701152560865,0.4587477155499332,0.45712125315343455
0.5600000000000002,0.45372706813066904,0.45556286330802365,0.45367510714329573
0.5500000000000002,0.45345427265907384,0.45547282868793504,0.45335956814072087
0.5400000000000001,0.4518174998295028,0.45393411454762056,0.4516929443859453
0.31000000000000005,0.44288344813476094,0.4536854861505652,0.4248844049652437
0.5300000000000001,0.4483393575666644,0.45063314367383417,0.4481494625321125
0.5200000000000001,0.44670258473709334,0.4490797456155817,0.4464770188558315
0.5100000000000001,0.44513401077542114,0.44759107247642316,0.444871268835486
0.5000000000000001,0.4434972379458501,0.44603767441817077,0.4431925553800826
0.49000000000000005,0.4419968628520767,0.444613726198106,0.44165088691811283
0.4800000000000001,0.4386551183250358,0.4414422051625073,0.438207269820801
0.25000000000000006,0.4220145945577303,0.44012766799045827,0.35886072894610976
0.4700000000000001,0.4349041805906022,0.4378823346123455,0.4343254630493031
0.26000000000000006,0.4201732251244629,0.43688233554525,0.3677828763404401
0.4600000000000001,0.4263111232353543,0.42972699480652027,0.42536492879761256
0.32000000000000006,0.4174452704085112,0.4267751727972491,0.40386649227866667
0.45000000000000007,0.41894564550228464,0.4227367035443843,0.41760695197636133
0.44000000000000006,0.41055718475073316,0.41477553849584065,0.408680737102496
0.43000000000000005,0.40264611607447315,0.4072674478809539,0.4001704962032182
0.42000000000000004,0.39739480324626614,0.40228362911072735,0.39447039445777554
0.4100000000000001,0.39248448475755304,0.3976234349359701,0.3891024958186883
0.33,0.38839255268362544,0.39581771417856354,0.37988971565365814
0.4000000000000001,0.3878469617404351,0.39322214043758824,0.3839983591148206
0.39000000000000007,0.382936643251722,0.3885619462628309,0.3785566648252535
0.38000000000000006,0.3792539043851872,0.385066800631763,0.37444968497744746
0.34,0.3752301711791584,0.3817546255740862,0.3687820966809659
0.37000000000000005,0.37502557457546204,0.38106119760691315,0.3696906042114801
0.36000000000000004,0.3735933983495874,0.3797019743059423,0.36807694864315643
0.35000000000000003,0.37284321080270066,0.37907810370353784,0.36703170148080494
