modelo,fold,accuracy,balanced_accuracy,f1_macro
minmax_random_forest,6,0.5406203840472673,0.5352325439475165,0.5270377989188375
minmax_random_forest,7,0.6048941798941799,0.6098335042832457,0.574355255289642
minmax_random_forest,8,0.9292353823088456,0.9433917006476373,0.9268845600787989
minmax_random_forest,9,0.6910662091752446,0.6738370663604308,0.6545630191825796
minmax_random_forest,10,0.8597375049714967,0.8606069511685821,0.8584077054937674
minmax_random_forest,media,0.7472564674020369,0.7346203902324215,0.7368746743181716
pca3_knn,1,0.5267420280074236,0.5322806161377905,0.494815420926452
pca3_knn,2,0.7032560784871321,0.719647559531563,0.7016123099116183
pca3_knn,3,0.6595339293565881,0.6054902776856248,0.6058531562115291
pca3_knn,4,0.6978397593656002,0.6864497607786071,0.6879825102776596
pca3_knn,5,0.8024746571258199,0.7632871830424302,0.7755056313783827
pca3_knn,6,0.3778702833355714,0.37273574869841974,0.36223539418176776
pca3_knn,7,0.41838624338624336,0.4189000127486092,0.41811574279083397
pca3_knn,8,0.8097451274362819,0.7835755119875772,0.7908459278890259
pca3_knn,9,0.80696403609099,0.8064454042841893,0.8063250207313701
pca3_knn,10,0.7231870608511203,0.7243614666721038,0.7180824099913394
pca3_knn,media,0.6522131633142438,0.6422130168486095,0.6426694308237972
pca3_svm_linear,1,0.8780158596254429,0.875387797311272,0.87546663818676
pca3_svm_linear,2,0.2492535191241291,0.22497433264887062,0.19952196676530845
pca3_svm_linear,3,0.42254140407445406,0.3890690062148017,0.3896893894401128
pca3_svm_linear,4,0.5244736122504785,0.5202571251908233,0.5199756074971847
pca3_svm_linear,5,0.7072152653548003,0.754381672194733,0.7071648686182915
pca3_svm_linear,6,0.3404055324291661,0.3286232823437905,0.25395712282107796
pca3_svm_linear,7,0.182010582010582,0.18529490977646107,0.1539838854073411
pca3_svm_linear,8,0.6790104947526237,0.724666765579688,0.6790099103327513
pca3_svm_linear,9,0.9360782818655483,0.939731607955907,0.9360775840176316
pca3_svm_linear,10,0.715630385788148,0.7150070448182619,0.7137707281903388
pca3_svm_linear,media,0.5589189494174401,0.5595503345844544,0.5577633371050317
pca3_random_forest,1,0.4508182891850852,0.4565438040942647,0.4103906939430405
pca3_random_forest,2,0.6570453575998862,0.6624435678289005,0.6568871928901385
pca3_random_forest,3,0.705408178220724,0.624197148915613,0.6149535559905528
pca3_random_forest,4,0.6631118403062619,0.6444628189760702,0.6433903335344038
pca3_random_forest,5,0.6744186046511628,0.6301672693165135,0.6331448960109042
pca3_random_forest,6,0.4204377601718813,0.41500610617890415,0.40393824580851756
pca3_random_forest,7,0.40793650793650793,0.40936400401822726,0.40473994929941737
pca3_random_forest,8,0.8349325337331335,0.819641680387092,0.8223518035041375
pca3_random_forest,9,0.6221883339687381,0.6072257182070266,0.5891322549119249
pca3_random_forest,10,0.668301736709532,0.6693571497874602,0.6633918305636435
pca3_random_forest,media,0.6093745592010608,0.5945468343758098,0.5921157127364618
lda1_knn,1,0.46752151172599965,0.4669143420471962,0.4667254404096509
lda1_knn,2,0.6442485425849567,0.6312378536236048,0.6311159494664392
lda1_knn,3,0.6026674483365089,0.5980858333922808,0.5915431606701604
lda1_knn,4,0.5987147935466229,0.5985388836244037,0.5966682170570309
lda1_knn,5,0.5468097793679189,0.5402274436771609,0.5352484963956798
lda1_knn,6,0.5461259567611119,0.5367295869103168,0.5071184776986271
lda1_knn,7,0.31203703703703706,0.31349771781692004,0.30794964428970484
lda1_knn,8,0.6508245877061469,0.638129636607818,0.6346601453873145
lda1_knn,9,0.8384801118312365,0.8310263529305586,0.8334767189141179
lda1_knn,10,0.7051570992973618,0.7055728238753249,0.7045882522158833
lda1_knn,media,0.5944790814455384,0.5884951509931591,0.5886839277471438
lda1_svm_linear,1,0.8656993419942636,0.8628059289900034,0.8623762466348792
lda1_svm_linear,2,0.3655623489264894,0.3302022083249603,0.26909982013768513
lda1_svm_linear,3,0.4776491279495823,0.46202205239252775,0.46077449947312965
lda1_svm_linear,4,0.5613891167623736,0.5585200406331845,0.5578321077124226
lda1_svm_linear,5,0.8014311270125224,0.840057636887608,0.8010644266683766
lda1_svm_linear,6,0.34980529072109573,0.33782302986358415,0.2611983288806539
lda1_svm_linear,7,0.17235449735449734,0.17546458389442499,0.14701568317725375
lda1_svm_linear,8,0.7137931034482758,0.7710482130007196,0.7134189671363024
lda1_svm_linear,9,1.0,1.0,1.0
lda1_svm_linear,10,0.7847010473286491,0.7835055985915989,0.7797672469241064
lda1_svm_linear,media,0.6051287838180947,0.6054557252223387,0.6037591777391288
lda1_random_forest,1,0.4808503458748102,0.4791491094189323,0.47653733644643204
lda1_random_forest,2,0.6473766529219395,0.6388120950253287,0.6394469567489485
lda1_random_forest,3,0.601934632859446,0.6094708325085254,0.5962869656451297
lda1_random_forest,4,0.612113754443533,0.619452420764949,0.6120812022305357
lda1_random_forest,5,0.532051282051282,0.5399623683685861,0.5275466908171984
lda1_random_forest,6,0.5408889485698939,0.5331971750527024,0.5143774269524655
lda1_random_forest,7,0.2791005291005291,0.28205419370087087,0.2597598619454478
lda1_random_forest,8,0.6671664167916042,0.6768782053021919,0.6614058355437666
lda1_random_forest,9,0.900876858558902,0.8971866334599979,0.8995422343509774
lda1_random_forest,10,0.7531486146095718,0.7528124784683075,0.7526129376079551
lda1_random_forest,media,0.6053262617428837,0.6059325806737819,0.6040796868371336
