dataset,numero_coleta,condicao,Coleta,Dia,Vaso,Classe,sensor,linhas,min,media,mediana,max,desvio,range,maior_delta_entre_linhas,linha_maior_delta_relativa,tempo_maior_delta
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,MQ3,2233,6324.0,7252.94670846395,7245.0,7467.0,173.12842864157545,1143.0,603.0,653,300.12
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,MQ7,2233,11433.0,20116.07881773399,20420.0,20631.0,1448.9885920950312,9198.0,6448.0,653,300.12
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,MQ8,2233,7541.0,8440.31079265562,8260.0,16359.0,1131.9062628032639,8818.0,7061.0,754,327.18
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,MQ135,2233,6253.0,6475.874160322436,6479.0,6724.0,108.95397000669504,471.0,116.0,1454,512.65
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,MQ138,2233,16399.0,20293.078369905958,20419.0,20649.0,640.6738056975788,4250.0,3021.0,748,325.47
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,Soil,1412,2338.0,2424.1983002832862,2427.5,2480.0,21.216284812897815,142.0,94.0,105,88.93
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,Temp.,1412,35.9,37.14447592067989,36.9,38.9,0.7387554958328075,3.0,0.10000000000000142,1,66.31
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,Pres.,1412,93.61,93.62381019830029,93.62,93.64,0.005552477125437252,0.030000000000001137,0.01999999999999602,290,129.06
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,MQ2,1412,4458.0,4572.492917847026,4559.0,4794.0,76.87869506969433,336.0,92.0,1365,363.7
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,MQ3,1412,9571.0,9900.807365439094,9880.5,10311.0,172.80951771871233,740.0,152.0,56,78.21
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,MQ7,1412,127.0,132.52832861189802,132.0,142.0,2.8506240200528716,15.0,3.0,162,101.31
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,MQ8,1412,2681.0,2775.158640226629,2771.0,2863.0,24.509944821910427,182.0,103.0,313,133.91
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,MQ135,1412,10032.0,10391.095609065156,10368.0,10833.0,150.64105419712678,801.0,147.0,250,120.18
dia_20_mais,13,Sem nematoide,Página12,20.0,,1,MQ138,1412,4535.0,4739.943342776204,4768.0,4848.0,83.67496201489581,313.0,65.0,250,120.18
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,Soil,1914,2400.0,2478.10710553814,2474.0,2566.0,29.14790090583278,166.0,120.0,222,140.09
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,Temp.,1914,22.9,27.98228840125392,28.2,32.1,2.6367769274206316,9.200000000000003,0.1999999999999993,46,100.9
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,Pres.,1914,93.87,93.8854022988506,93.89,93.9,0.005368794750717001,0.030000000000001137,0.01999999999999602,1688,468.25
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,MQ2,1914,3628.0,3763.3631138975966,3742.5,4184.0,118.81831627403291,556.0,77.0,133,120.18
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,MQ3,1914,8419.0,8698.83960292581,8675.0,9290.0,170.32180076869972,871.0,378.0,382,175.8
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,MQ7,1914,3627.0,3763.644723092999,3743.0,4185.0,118.80462820117518,558.0,77.0,133,120.18
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,MQ8,1914,3130.0,3366.4540229885056,3418.0,3633.0,95.84805248788484,503.0,186.0,881,287.51
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,MQ135,1914,8411.0,8698.93051201672,8675.0,9291.0,170.36399603145205,880.0,381.0,382,175.8
dia_20_mais,14,Sem nematoide,dia 21 sem pressao - Soja Sauda,21.0,,1,MQ138,1914,7019.0,8107.520376175548,8138.5,9048.0,681.1996849848701,2029.0,160.0,133,120.18
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,Soil,1915,2428.0,2500.164490861619,2494.0,2597.0,30.091563381090335,169.0,80.0,1448,414.14
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,Temp.,1915,26.5,30.133159268929504,30.3,33.2,1.8907275786335604,6.700000000000003,0.1999999999999993,135,121.04
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,Pres.,1915,93.88,93.89046997389038,93.89,93.9,0.002852799638565712,0.020000000000010232,0.020000000000010232,1406,404.53
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,MQ2,1915,3432.0,3735.502349869452,3674.0,4049.0,136.22518993084836,617.0,68.0,130,119.99
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,MQ3,1915,7450.0,8066.322193211488,7978.0,8512.0,182.610997731722,1062.0,414.0,1478,421.12
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,MQ7,1915,119.0,132.12062663185378,134.0,145.0,5.709674609129016,26.0,7.0,1643,458.03
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,MQ8,1915,3358.0,3580.0026109660575,3602.0,3729.0,76.02057614461378,371.0,93.0,1641,457.45
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,MQ135,1915,8464.0,8867.70548302872,8755.0,9475.0,238.67719079690522,1011.0,369.0,1478,421.12
dia_20_mais,15,Sem nematoide,Página13,21.0,,1,MQ138,1915,3690.0,3983.0825065274153,3896.0,4293.0,135.04928270303517,603.0,70.0,130,119.99
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,Soil,1945,2431.0,2523.5897172236505,2519.0,2611.0,31.79569711636261,180.0,96.0,30,98.88
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,Temp.,1945,31.7,34.060102827763494,34.1,36.3,1.2510004184788195,4.599999999999998,0.10000000000000142,2,92.36
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,Pres.,1945,93.9,93.91519280205658,93.92,93.93,0.005268153956119076,0.030000000000001137,0.020000000000010232,366,173.97
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,MQ2,1945,3745.0,3943.012853470437,3869.0,9531.0,232.33130376952332,5786.0,5611.0,1415,408.12
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,MQ3,1945,8058.0,8725.703856041131,8368.0,9726.0,613.3271627361192,1668.0,1093.0,1193,358.59
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,MQ7,1945,109.0,1655.1383033419022,115.0,9525.0,1939.6886016302835,9416.0,5601.0,1415,408.12
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,MQ8,1945,2940.0,3091.5933161953726,3126.0,3231.0,98.93001463059605,291.0,234.0,1186,357.11
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,MQ135,1945,8724.0,9164.088431876608,9088.0,9730.0,287.16341971835504,1006.0,370.0,1193,358.59
dia_20_mais,16,Sem nematoide,Página14,21.0,,1,MQ138,1945,3896.0,7029.530077120822,4094.0,11881.0,3677.5114899185237,7985.0,7346.0,1194,358.79
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,Soil,1502,2662.0,2737.082556591212,2738.0,2824.0,26.87655005191944,162.0,79.0,76,88.92
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,Temp.,1502,32.0,34.16111850865513,34.2,36.1,1.171567824111197,4.100000000000001,0.10000000000000142,25,77.46
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,Pres.,1502,93.9,93.90650466045271,93.91,93.93,0.006072483968153811,0.030000000000001137,0.020000000000010232,163,108.02
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,MQ2,1502,3761.0,3965.90878828229,3916.0,4186.0,134.22264286410407,425.0,114.0,914,278.06
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,MQ3,1502,7674.0,8638.193075898802,8441.5,10104.0,466.8899626041871,2430.0,1624.0,914,278.06
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,MQ7,1502,99.0,105.05858854860186,104.0,112.0,3.7036133217967593,13.0,4.0,927,280.88
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,MQ8,1502,2773.0,2865.285619174434,2876.0,2916.0,39.18242129013138,143.0,29.0,937,283.03
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,MQ135,1502,8763.0,9460.632490013315,9168.5,11174.0,533.7269568297013,2411.0,1985.0,914,278.06
dia_20_mais,17,Sem nematoide,Página15,21.0,,1,MQ138,1502,4057.0,4224.9766977363515,4115.0,4454.0,131.96487779064668,397.0,77.0,216,120.08
